project_title,project_id,project_contact,description,,time_interval,project_based_club
project758,758,berniece_weber62@yahoo.com,The train is coming early today.,2312,58 months,University of Michigan MedWish
project759,759,ed_toy@yahoo.com,Our past is important to remember.,7625,54 years,University of Michigan Rocket Team
project760,760,lucy_johnston17@gmail.com,There was a big gold star on the door.,9560,53 weeks,University of Michigan Global Health Design Collaborative
project761,761,arnulfo.gibson@yahoo.com,It’s getting dark.,9738,3 months,University of Michigan Graduate Civil Engineering Student Association
project762,762,claudia.mcclure@yahoo.com,I like salad and green beans.,4952,6 months,University of Michigan Medical Technology Group
project763,763,cale.blick@hotmail.com,Honesty is the best policy.,7701,2 months,University of Michigan oSTEM
project764,764,florence.gaylord69@gmail.com,Here is another picture of your mom.,9878,5 months,University of Michigan Society of Hispanic Professional Engineers
project765,765,marian66@hotmail.com,This company's profit margin is very big.,6042,52 month,University of Michigan Society of Women Engineers
project766,766,coty.schmitt@gmail.com,The wall had fresh paint on it.,1098,3 months,University of Michigan Steel Bridge Team
project767,767,amelia95@yahoo.com,He writes meaningless letters.,51,6 months,University of Michigan Theta Tau
project768,768,boris.west@yahoo.com,It wasn't any bigger than a soccer ball.,237,2 months,University of Michigan Women in Science and Engineering Roundtable
project769,769,carley.beatty36@hotmail.com,A white table will get dirty fast.,1379,5 months,University of Michigan American Marketing Association
project770,770,serena_spencer26@gmail.com,We must obey the rules or go to jail.,6277,52 month,University of Michigan Association for Computing Machinery
project771,771,nora.steuber@gmail.com,I opened the door.,8681,52 year,University of Michigan Neuroscience Society
project772,772,loren.funk54@hotmail.com,I've got other problems.,4187,1.5 years,University of Michigan Orchestra
project773,773,cody_renner@hotmail.com,That's one of my biggest problems.,5983,59 months,University of Michigan Developer Student Club
project774,774,velva28@yahoo.com,Murders are very common in cities.,6996,55 years,University of Michigan Design For America
project775,775,leda_zboncak@gmail.com,That guy's got an ugly face.,8659,54 weeks,University of Michigan Discussions Undergraduate Research Journal
project776,776,kaleigh.brakus@yahoo.com,Tom is just a farm boy living in a big city.,2865,3 months,Carnegie Mellon University Engineers Without Borders
project777,777,myrl69@hotmail.com,The dancer gave him a cigarette.,2277,6 months,Carnegie Mellon University Girls Who Code
project778,778,marjory_ritchie@yahoo.com,Mom made me a sandwich.,6365,2 months,Carnegie Mellon University Hackers Society
project779,779,harley_rohan49@hotmail.com,The computer is dying on me.,6478,5 months,Carnegie Mellon University Biomedical Engineering Society
project780,780,weston.lang50@yahoo.com,He feels small next to him.,7312,53 month,Carnegie Mellon University American Institute of Chemical Engineers
project781,781,madeline.schultz41@yahoo.com,You don’t have children.,210,3 months,Carnegie Mellon University Baja Sae
project782,782,rylee.mayer@gmail.com,There was a parade today.,7268,6 months,Carnegie Mellon University Aeronautics Team
project783,783,malinda_simonis19@gmail.com,I don't owe you anything.,3446,2 months,Carnegie Mellon University MedWish
project784,784,macey_damore36@hotmail.com,You have to share it with other tenants.,3668,5 months,Carnegie Mellon University Rocket Team
project785,785,enos.legros@hotmail.com,She likes parties.,1224,53 month,Carnegie Mellon University Global Health Design Collaborative
project786,786,maxine_schaefer@hotmail.com,I want to talk about something.,6241,53 year,Carnegie Mellon University Graduate Civil Engineering Student Association
project787,787,twila49@gmail.com,She had eleven brothers and sisters.,968,1.5 years,Carnegie Mellon University Medical Technology Group
project788,788,rhianna_jacobson9@gmail.com,My pants were falling down so I added a belt.,585,60 months,Carnegie Mellon University oSTEM
project789,789,kennedy29@yahoo.com,You‘d better wear a light jacket.,7518,56 years,Carnegie Mellon University Society of Hispanic Professional Engineers
project790,790,arlo62@yahoo.com,There was a rock concert in 1970.,9358,55 weeks,Carnegie Mellon University Society of Women Engineers
project791,791,kendra2@hotmail.com,I have too much work to do.,5257,3 months,Carnegie Mellon University Steel Bridge Team
project792,792,marilie89@gmail.com,You're simply the best.,7909,6 months,Carnegie Mellon University Theta Tau
project793,793,agustin_turcotte21@gmail.com,He drew all over his yearbook.,9723,2 months,Carnegie Mellon University Women in Science and Engineering Roundtable
project794,794,steve.effertz48@hotmail.com,She felt sad for no real reason.,7091,5 months,Carnegie Mellon University American Marketing Association
project795,795,mattie_labadie@gmail.com,I'll make a list and give it to Samantha.,5556,54 month,Carnegie Mellon University Association for Computing Machinery
project796,796,timmy3@hotmail.com,She hated first dates.,4752,3 months,Carnegie Mellon University Neuroscience Society
project797,797,lessie66@yahoo.com,The caffeine was making her jittery.,5720,6 months,Carnegie Mellon University Orchestra
project798,798,gregorio_turner@hotmail.com,It won’t happen in our lifetime.,8506,2 months,Carnegie Mellon University Developer Student Club
project799,799,brooklyn_mcglynn5@gmail.com,"That's a great job, Kimberly.",775,5 months,Carnegie Mellon University Design For America
project800,800,lenny_hand75@yahoo.com,Northwestern is a great school.,3870,54 month,Carnegie Mellon University Discussions Undergraduate Research Journal
project801,801,berta_nikolaus63@yahoo.com,I hope your trip is relaxing.,1307,54 year,New York University Engineers Without Borders
project802,802,tianna_collier@hotmail.com,He was married to a friend of mine.,1099,1.5 years,New York University Girls Who Code
project803,803,selina_sawayn@hotmail.com,A white shirt makes people look tan.,8728,61 months,New York University Hackers Society
project804,804,ervin63@hotmail.com,I have a massive crush on him.,4000,57 years,New York University Biomedical Engineering Society
project805,805,frederik_howell@gmail.com,More people have been to Russia than I have.,2792,56 weeks,New York University American Institute of Chemical Engineers
project806,806,corine.hermann81@yahoo.com,I am just extremely proud of him.,4019,3 months,New York University Baja Sae
project807,807,robbie.lueilwitz@gmail.com,I need to stop spending money.,9486,6 months,New York University Aeronautics Team
project808,808,alanis.stiedemann23@gmail.com,It's raining and thundering.,4410,2 months,New York University MedWish
project809,809,turner_brown@hotmail.com,You're pulling my leg.,2696,5 months,New York University Rocket Team
project810,810,rashawn.abshire2@yahoo.com,I’ve done a psychic healing course.,2427,55 month,New York University Global Health Design Collaborative
project811,811,jacques6@gmail.com,It's rare to find big yards in Japan.,6579,3 months,New York University Graduate Civil Engineering Student Association
project812,812,jaydon12@gmail.com,It felt great to disconnect with technology.,7178,6 months,New York University Medical Technology Group
project813,813,karlee.okuneva21@yahoo.com,I feel like blowing something up.,1067,2 months,New York University oSTEM
project814,814,jeffery52@gmail.com,You look really sharp today.,7020,5 months,New York University Society of Hispanic Professional Engineers
project815,815,chesley.kuhlman64@hotmail.com,It took quite a while.,9789,55 month,New York University Society of Women Engineers
project816,816,lolita_ernser9@yahoo.com,The blacksmith makes old-fashioned swords.,4688,55 year,New York University Steel Bridge Team
project817,817,osborne.gorczany@hotmail.com,"In Australia, McDonald's is called Maccas.",3987,1.5 years,New York University Theta Tau
project818,818,herminia69@gmail.com,Tom has a big box of stuff in my attic.,2803,62 months,New York University Women in Science and Engineering Roundtable
project819,819,ron39@hotmail.com,She became homeless after she was evicted.,1453,58 years,New York University American Marketing Association
project820,820,marc.altenwerth88@yahoo.com,Life is full of ups and downs.,8191,57 weeks,New York University Association for Computing Machinery
project821,821,ruby.farrell@hotmail.com,We can go to the oark.,5957,3 months,New York University Neuroscience Society
project822,822,savanna12@hotmail.com,She became more and more beautiful.,4581,6 months,New York University Orchestra
project823,823,dean_kreiger73@yahoo.com,You're a huge help.,1379,2 months,New York University Developer Student Club
project824,824,muhammad14@yahoo.com,It’s a significant promise.,9104,5 months,New York University Design For America
project825,825,roxane59@yahoo.com,Historical sites are awesome to walk through.,7809,56 month,New York University Discussions Undergraduate Research Journal
project826,826,barney.quitzon85@hotmail.com,She felt sad for no real reason.,2350,3 months,Columbia University Engineers Without Borders
project827,827,henri99@yahoo.com,I made a mistake in choosing my wife.,6137,6 months,Columbia University Girls Who Code
project828,828,krystel.keeling51@gmail.com,I just saw the weirdest sidewalk.,6274,2 months,Columbia University Hackers Society
project829,829,kaylin34@yahoo.com,Tom asked me if he was invited to the party.,7707,5 months,Columbia University Biomedical Engineering Society
project830,830,elyse40@yahoo.com,He writes meaningless letters.,1262,56 month,Columbia University American Institute of Chemical Engineers
project831,831,lewis60@gmail.com,I've got other problems.,5262,56 year,Columbia University Baja Sae
project832,832,cory.toy@hotmail.com,Ask no questions and hear no lies.,8482,1.5 years,Columbia University Aeronautics Team
project833,833,emmett.price@yahoo.com,This horse has beautiful eyes.,9192,63 months,Columbia University MedWish
project834,834,domenico.mitchell9@yahoo.com,The last city I wanted to visit was Boston.,9222,59 years,Columbia University Rocket Team
project835,835,mckenna.legros78@hotmail.com,I love my new pets.,7743,58 weeks,Columbia University Global Health Design Collaborative
project836,836,elda98@yahoo.com,We had a snow storm last weekend.,9753,3 months,Columbia University Graduate Civil Engineering Student Association
project837,837,orville36@hotmail.com,He was in a bluegrass band with his father.,1835,6 months,Columbia University Medical Technology Group
project838,838,werner37@yahoo.com,I've got a surprise for you.,3733,2 months,Columbia University oSTEM
project839,839,trystan24@yahoo.com,I am here to be pushed to a higher level.,261,5 months,Columbia University Society of Hispanic Professional Engineers
project840,840,pietro94@hotmail.com,This is too big for one person to carry.,3900,57 month,Columbia University Society of Women Engineers
project841,841,francisca.witting11@hotmail.com,I've got rough hands.,7467,3 months,Columbia University Steel Bridge Team
project842,842,verner29@hotmail.com,he is easily offended.,4471,6 months,Columbia University Theta Tau
project843,843,vincent.stroman50@yahoo.com,She liked him until he said he was a Marxist.,271,2 months,Columbia University Women in Science and Engineering Roundtable
project844,844,akeem52@gmail.com,The bus went roaring by her window at 6 am.,3597,5 months,Columbia University American Marketing Association
project845,845,ottis.tremblay@yahoo.com,Ask no questions and hear no lies.,308,57 month,Columbia University Association for Computing Machinery
project846,846,leif91@hotmail.com,Most big Japanese firms depend on exports.,6453,57 year,Columbia University Neuroscience Society
project847,847,natalie27@yahoo.com,You don't have to make a big deal out of it.,1436,1.5 years,Columbia University Orchestra
project848,848,muriel_hyatt36@gmail.com,that's not even how to kill me.,4334,64 months,Columbia University Developer Student Club
project849,849,peter7@yahoo.com,Greer isn't listed in the phone book.,4289,60 years,Columbia University Design For America
project850,850,jordon_jast@hotmail.com,He is the happiest man alive.,3930,59 weeks,Columbia University Discussions Undergraduate Research Journal
project851,851,luisa83@yahoo.com,Rosa likes tea better than coffee.,7062,3 months,Cornell University Engineers Without Borders
project852,852,curtis_jones@yahoo.com,A big car drew up and a tall lady got out.,9636,6 months,Cornell University Girls Who Code
project853,853,elza79@gmail.com,You're running a big risk in trusting him.,6951,2 months,Cornell University Hackers Society
project854,854,bailee.jacobi89@yahoo.com,I hate scammers.,8864,5 months,Cornell University Biomedical Engineering Society
project855,855,eino62@yahoo.com,I wanted to read the book.,9410,58 month,Cornell University American Institute of Chemical Engineers
project856,856,alfredo_frami@yahoo.com,You guys like meat.,3471,3 months,Cornell University Baja Sae
project857,857,nicolette92@yahoo.com,We were on the lake yesterday.,9534,6 months,Cornell University Aeronautics Team
project858,858,kathleen31@hotmail.com,I have 10 hair curlers.,7710,2 months,Cornell University MedWish
project859,859,anika.grant44@gmail.com,I am busy right now with my work.,3369,5 months,Cornell University Rocket Team
project860,860,augustine0@gmail.com,It's storming outside.,5418,58 month,Cornell University Global Health Design Collaborative
project861,861,caroline.wunsch21@yahoo.com,That is not a pencil.,9074,58 year,Cornell University Graduate Civil Engineering Student Association
project862,862,taurean50@yahoo.com,I had to put a pin in his femur.,148,1.5 years,Cornell University Medical Technology Group
project863,863,idell.ruecker@gmail.com,I’m debating between option A and option B.,8692,65 months,Cornell University oSTEM
project864,864,bert.feeney35@hotmail.com,My teacher told Pat to lower his voice.,2858,61 years,Cornell University Society of Hispanic Professional Engineers
project865,865,ryleigh.kunde@yahoo.com,Welcome to the big leagues.,480,60 weeks,Cornell University Society of Women Engineers
project866,866,halie.satterfield@hotmail.com,I don't like rain.,2502,3 months,Cornell University Steel Bridge Team
project867,867,esperanza.harvey71@gmail.com,The taxes are included in the price.,6778,6 months,Cornell University Theta Tau
project868,868,kayley90@hotmail.com,They don't take care of that dog.,4022,2 months,Cornell University Women in Science and Engineering Roundtable
project869,869,justyn_morissette27@gmail.com,This could change all of our lives.,4907,5 months,Cornell University American Marketing Association
project870,870,sandy.mraz4@gmail.com,This is real life.,6426,59 month,Cornell University Association for Computing Machinery
project871,871,brett_stoltenberg@gmail.com,You took out someone you cared for.,8481,3 months,Cornell University Neuroscience Society
project872,872,celine37@hotmail.com,She had a dice with over twenty sides.,5714,6 months,Cornell University Orchestra
project873,873,jaunita.spencer0@yahoo.com,He is bigger than all the other boys.,7722,2 months,Cornell University Developer Student Club
project874,874,giovanny79@hotmail.com,He can't take the joke.,8188,5 months,Cornell University Design For America
project875,875,myah.oconner@gmail.com,Coca-cola is yummy.,8414,59 month,Cornell University Discussions Undergraduate Research Journal
project876,876,allison.berge24@yahoo.com,I close the window.,6169,59 year,University of Texas at Austin Engineers Without Borders
project877,877,alda_romaguera49@gmail.com,I am a groom.,6402,1.5 years,University of Texas at Austin Girls Who Code
project878,878,jeremy.nikolaus37@gmail.com,She doesn’t see Peter every day.,1226,66 months,University of Texas at Austin Hackers Society
project879,879,jarod_brakus@gmail.com,A small town lies between the big cities.,7683,62 years,University of Texas at Austin Biomedical Engineering Society
project880,880,lacy_fritsch65@hotmail.com,I could help dad around here.,8439,61 weeks,University of Texas at Austin American Institute of Chemical Engineers
project881,881,bertha68@gmail.com,The cruise cut through the Bermuda Triangle.,4660,3 months,University of Texas at Austin Baja Sae
project882,882,garry.nader@gmail.com,They're almost three times as big as we are.,9818,6 months,University of Texas at Austin Aeronautics Team
project883,883,lilliana_deckow26@yahoo.com,Land is good.,4955,2 months,University of Texas at Austin MedWish
project884,884,devante33@gmail.com,I heard you two had a fight.,6725,5 months,University of Texas at Austin Rocket Team
project885,885,zion68@gmail.com,The teacher tested us in English.,2472,60 month,University of Texas at Austin Global Health Design Collaborative
project886,886,casper_welch@hotmail.com,Moving to the next step is daunting.,44,3 months,University of Texas at Austin Graduate Civil Engineering Student Association
project887,887,katherine.quitzon@yahoo.com,"After the heavy rain, there was a big flood.",1709,6 months,University of Texas at Austin Medical Technology Group
project888,888,pauline_runolfsdottir41@hotmail.com,It's so hot.,2655,2 months,University of Texas at Austin oSTEM
project889,889,mandy_mckenzie94@yahoo.com,He made the hard decision but the right one.,3220,5 months,University of Texas at Austin Society of Hispanic Professional Engineers
project890,890,olin_pfeffer@gmail.com,I'll be back.,4676,60 month,University of Texas at Austin Society of Women Engineers
project891,891,vella.schuster48@hotmail.com,We have weight training classes.,9163,60 year,University of Texas at Austin Steel Bridge Team
project892,892,osbaldo.morar@yahoo.com,The cat jumped over the fence.,5622,1.5 years,University of Texas at Austin Theta Tau
project893,893,dianna29@gmail.com,There are new deals every single day.,7200,67 months,University of Texas at Austin Women in Science and Engineering Roundtable
project894,894,keaton.bosco41@hotmail.com,You are making a big mistake.,5694,63 years,University of Texas at Austin American Marketing Association
project895,895,herbert_schiller82@gmail.com,"After he arrives, we’ll all come out.",9607,62 weeks,University of Texas at Austin Association for Computing Machinery
project896,896,gregoria.mcdermott5@gmail.com,I'm not really a TV watcher.,9593,3 months,University of Texas at Austin Neuroscience Society
project897,897,krystal7@gmail.com,"I always overpack,.",4602,6 months,University of Texas at Austin Orchestra
project898,898,elizabeth60@yahoo.com,The rusty containers were in the field.,6592,2 months,University of Texas at Austin Developer Student Club
project899,899,marian.schmeler87@yahoo.com,I have a bunch of things I need to do.,9587,5 months,University of Texas at Austin Design For America
project900,900,elva.considine92@yahoo.com,I’m also too poor to afford a real office.,9882,61 month,University of Texas at Austin Discussions Undergraduate Research Journal
project901,901,elvie.mante@hotmail.com,The train was forty-seven minutes late.,5690,3 months,Michigan State University Engineers Without Borders
project902,902,juanita40@gmail.com,She writes an e-mail to her best friend.,9782,6 months,Michigan State University Girls Who Code
project903,903,otilia62@hotmail.com,I’m sorry to interrupt you.,6790,2 months,Michigan State University Hackers Society
project904,904,savanah_fadel@gmail.com,He suddenly appeared in the party.,472,5 months,Michigan State University Biomedical Engineering Society
project905,905,kian.langosh@yahoo.com,You need therapy.,4510,61 month,Michigan State University American Institute of Chemical Engineers
project906,906,myah81@hotmail.com,His father runs a restaurant.,1848,61 year,Michigan State University Baja Sae
project907,907,marty78@hotmail.com,I like the Wimbledon.,1350,1.5 years,Michigan State University Aeronautics Team
project908,908,evan.spinka@gmail.com,Those apples are very red.,9949,68 months,Michigan State University MedWish
project909,909,ofelia.prohaska@yahoo.com,He worked in a city hospital.,7925,64 years,Michigan State University Rocket Team
project910,910,hailie.funk@gmail.com,The eggs are sold by the dozen.,5399,63 weeks,Michigan State University Global Health Design Collaborative
project911,911,christelle70@gmail.com,I'm sick of online dating.,8552,3 months,Michigan State University Graduate Civil Engineering Student Association
project912,912,levi.lindgren68@yahoo.com,He goes to school.,2041,6 months,Michigan State University Medical Technology Group
project913,913,jazmyne.gusikowski@gmail.com,I need to use the bathroom.,2856,2 months,Michigan State University oSTEM
project914,914,eleonore54@hotmail.com,Captain America is my favorite Avenger.,6631,5 months,Michigan State University Society of Hispanic Professional Engineers
project915,915,ari75@gmail.com,It could possibly become a big problem.,4825,62 month,Michigan State University Society of Women Engineers
project916,916,lelah.friesen68@hotmail.com,I've got too much work to do.,3214,3 months,Michigan State University Steel Bridge Team
project917,917,ayana51@gmail.com,They are cruel to the animals.,5324,6 months,Michigan State University Theta Tau
project918,918,adam26@gmail.com,You're simply the best.,1458,2 months,Michigan State University Women in Science and Engineering Roundtable
project919,919,carmela.cartwright47@gmail.com,It really bugged me.,7739,5 months,Michigan State University American Marketing Association
project920,920,donavon.mcdermott82@hotmail.com,"She had long, yellow fingernails.",8435,62 month,Michigan State University Association for Computing Machinery
project921,921,alfred.windler90@yahoo.com,I am a genius.,3335,62 year,Michigan State University Neuroscience Society
project922,922,lou11@hotmail.com,The job was bigger than I anticipated.,9783,1.5 years,Michigan State University Orchestra
project923,923,clay29@hotmail.com,They go to a gallery every Saturday.,9707,69 months,Michigan State University Developer Student Club
project924,924,fiona.mueller84@yahoo.com,Honesty is the best policy.,7583,65 years,Michigan State University Design For America
project925,925,hoyt_bergnaum81@yahoo.com,A turkey is a little bigger than a chicken.,8035,64 weeks,Michigan State University Discussions Undergraduate Research Journal
project926,926,julio_nienow@gmail.com,I miss my college friends.,1865,3 months,Harvard University Engineers Without Borders
project927,927,lupe78@gmail.com,Tom let out a sigh of relief.,9006,6 months,Harvard University Girls Who Code
project928,928,ismael.dibbert@hotmail.com,My mom got a new job.,1118,2 months,Harvard University Hackers Society
project929,929,justen77@gmail.com,He knows English better than I do.,6683,5 months,Harvard University Biomedical Engineering Society
project930,930,kip50@hotmail.com,She told him to grow up.,5688,63 month,Harvard University American Institute of Chemical Engineers
project931,931,jesse51@yahoo.com,I trust you so much.,8982,3 months,Harvard University Baja Sae
project932,932,yadira58@gmail.com,I feel like I am going to pass out.,4519,6 months,Harvard University Aeronautics Team
project933,933,marcus_bailey81@yahoo.com,It’s likely to rain.,9477,2 months,Harvard University MedWish
project934,934,zachariah.volkman@yahoo.com,I don't like visiting cities.,9487,5 months,Harvard University Rocket Team
project935,935,annamarie_stoltenberg@gmail.com,It’s as good as new.,7721,63 month,Harvard University Global Health Design Collaborative
project936,936,kiel_bailey29@gmail.com,He’s as proud as a peacock.,864,63 year,Harvard University Graduate Civil Engineering Student Association
project937,937,modesta90@gmail.com,This is because we feel pain.,6300,1.5 years,Harvard University Medical Technology Group
project938,938,federico55@gmail.com,She doesn’t use a computer.,126,70 months,Harvard University oSTEM
project939,939,christa_bednar@yahoo.com,Robert tends to talk big.,1673,66 years,Harvard University Society of Hispanic Professional Engineers
project940,940,odie.jacobs82@yahoo.com,You must be happy.,7041,65 weeks,Harvard University Society of Women Engineers
project941,941,ashlynn_smith58@gmail.com,He has a weird mouth.,6939,3 months,Harvard University Steel Bridge Team
project942,942,jonas.paucek84@gmail.com,The doctor diagnosed her with diabetes.,1093,6 months,Harvard University Theta Tau
project943,943,gussie62@yahoo.com,They were the nation's biggest business.,1517,2 months,Harvard University Women in Science and Engineering Roundtable
project944,944,kian54@hotmail.com,It takes two to tango.,8197,5 months,Harvard University American Marketing Association
project945,945,mabel_bins80@gmail.com,He showed us how to snap the pencil.,995,64 month,Harvard University Association for Computing Machinery
project946,946,annabel_steuber@gmail.com,Sue was her favorite classmate.,8972,3 months,Harvard University Neuroscience Society
project947,947,hertha.wilderman67@hotmail.com,We should hang soon.,9019,6 months,Harvard University Orchestra
project948,948,jaeden71@yahoo.com,I love my high school friends.,9570,2 months,Harvard University Developer Student Club
project949,949,carter_ritchie@hotmail.com,The words you just used were mean.,2522,5 months,Harvard University Design For America
project950,950,thurman.hills@gmail.com,I have not opened the door.,8881,64 month,Harvard University Discussions Undergraduate Research Journal
project951,951,lavada_torphy@hotmail.com,He would snore loudly during his nap.,5307,64 year,Boston University Engineers Without Borders
project952,952,lulu.dietrich@gmail.com,She wished she had taken the other job.,7229,1.5 years,Boston University Girls Who Code
project953,953,aryanna.wyman90@gmail.com,I have 10 hair straighteners.,3219,71 months,Boston University Hackers Society
project954,954,carolyn_christiansen84@yahoo.com,I can understand a slip up.,8043,67 years,Boston University Biomedical Engineering Society
project955,955,loraine_weber59@yahoo.com,My brother is big enough to travel alone.,5677,66 weeks,Boston University American Institute of Chemical Engineers
project956,956,deion22@gmail.com,The blacksmith makes old-fashioned swords.,1644,3 months,Boston University Baja Sae
project957,957,amparo.fadel83@hotmail.com,Mr. Smith thinks that he's the best.,1151,6 months,Boston University Aeronautics Team
project958,958,marcel89@gmail.com,She had a black thumb.,5279,2 months,Boston University MedWish
project959,959,vena_considine@gmail.com,I am here to be pushed to a higher level.,6641,5 months,Boston University Rocket Team
project960,960,gracie41@yahoo.com,I haven’t been invited.,6199,65 month,Boston University Global Health Design Collaborative
project961,961,alfred24@hotmail.com,I forgot my shopping list at home.,1482,3 months,Boston University Graduate Civil Engineering Student Association
project962,962,michale_doyle18@hotmail.com,You'd better look before you jump.,7401,6 months,Boston University Medical Technology Group
project963,963,michelle9@hotmail.com,We can go to the oark.,7652,2 months,Boston University oSTEM
project964,964,jarvis.prohaska@hotmail.com,I am here for you.,28,5 months,Boston University Society of Hispanic Professional Engineers
project965,965,justice.morar46@hotmail.com,I have 30 jackets.,5931,65 month,Boston University Society of Women Engineers
project966,966,anthony_braun50@yahoo.com,Albert Einstein was kind of smart.,9979,65 year,Boston University Steel Bridge Team
project967,967,chris_schultz@yahoo.com,It's storming outside.,9343,1.5 years,Boston University Theta Tau
project968,968,jedidiah25@gmail.com,My Airpods keep falling out of my ears.,863,72 months,Boston University Women in Science and Engineering Roundtable
project969,969,rubie.lowe@yahoo.com,Nothing hurts like the truth.,3719,68 years,Boston University American Marketing Association
project970,970,zaria.mayert@hotmail.com,The movie industry became a big business.,326,67 weeks,Boston University Association for Computing Machinery
project971,971,cletus.senger92@gmail.com,She doesn’t use a computer.,6769,3 months,Boston University Neuroscience Society
project972,972,bernard_cole7@yahoo.com,The gang's all her.,379,6 months,Boston University Orchestra
project973,973,allie.mann@hotmail.com,The sooner I get to bed the better.,7983,2 months,Boston University Developer Student Club
project974,974,may20@gmail.com,He wears suspenders instead of a belt.,9831,5 months,Boston University Design For America
project975,975,itzel.luettgen75@yahoo.com,Rosa crossed Mary's name off the list.,2425,66 month,Boston University Discussions Undergraduate Research Journal
project976,976,westley.wilkinson@hotmail.com,He fixed the sleeve under his coat.,523,3 months,Massachusetts Institute of Technology Engineers Without Borders
project977,977,mitchell_skiles17@yahoo.com,He likes to swim in the lake.,4704,6 months,Massachusetts Institute of Technology Girls Who Code
project978,978,dorcas_nienow44@hotmail.com,The train is coming early today.,3505,2 months,Massachusetts Institute of Technology Hackers Society
project979,979,moises_schinner37@yahoo.com,It’s getting dark.,6106,5 months,Massachusetts Institute of Technology Biomedical Engineering Society
project980,980,adele.bahringer95@hotmail.com,"When you enter a room, smile and say hello.",1711,66 month,Massachusetts Institute of Technology American Institute of Chemical Engineers
project981,981,elva59@hotmail.com,We have bigger fish to fry.,1686,66 year,Massachusetts Institute of Technology Baja Sae
project982,982,winston_smith98@yahoo.com,She spent a lot of money on books.,7400,1.5 years,Massachusetts Institute of Technology Aeronautics Team
project983,983,kay.botsford11@hotmail.com,You can order it spicy or classic.,5786,73 months,Massachusetts Institute of Technology MedWish
project984,984,loyal.kris21@hotmail.com,There's a big pile of mail on your desk.,302,69 years,Massachusetts Institute of Technology Rocket Team
project985,985,abel.pagac52@hotmail.com,I got a new cat.,5991,68 weeks,Massachusetts Institute of Technology Global Health Design Collaborative
project986,986,aiyana49@gmail.com,Tom is just a farm boy living in a big city.,820,3 months,Massachusetts Institute of Technology Graduate Civil Engineering Student Association
project987,987,genevieve_cummings5@hotmail.com,I used to have a goldfish.,6571,6 months,Massachusetts Institute of Technology Medical Technology Group
project988,988,trevor97@hotmail.com,They sleep in the afternoon.,1036,2 months,Massachusetts Institute of Technology oSTEM
project989,989,elsie_dicki2@gmail.com,I had to put a pin in his femur.,15,5 months,Massachusetts Institute of Technology Society of Hispanic Professional Engineers
project990,990,luisa.donnelly14@yahoo.com,She wished applying for jobs was easier.,4433,67 month,Massachusetts Institute of Technology Society of Women Engineers
project991,991,kaycee_purdy@hotmail.com,They employed him as a consultant.,2020,3 months,Massachusetts Institute of Technology Steel Bridge Team
project992,992,khalid.sanford17@gmail.com,They don’t have any money.,445,6 months,Massachusetts Institute of Technology Theta Tau
project993,993,elinor.morissette13@hotmail.com,I'm going to see a movie.,1086,2 months,Massachusetts Institute of Technology Women in Science and Engineering Roundtable
project994,994,christophe62@yahoo.com,We reached London this afternoon.,3833,5 months,Massachusetts Institute of Technology American Marketing Association
project995,995,merlin_conn@yahoo.com,She sells Christmas trees.,7479,67 month,Massachusetts Institute of Technology Association for Computing Machinery
project996,996,lenna_murphy0@yahoo.com,He lives on this street.,1145,67 year,Massachusetts Institute of Technology Neuroscience Society
project997,997,ivory_shields30@yahoo.com,She was very tired as a general rule.,3514,1.5 years,Massachusetts Institute of Technology Orchestra
project998,998,selena13@yahoo.com,We need congressional support.,3872,74 months,Massachusetts Institute of Technology Developer Student Club
project999,999,noble_ebert@yahoo.com,It was a tough time.,4177,70 years,Massachusetts Institute of Technology Design For America
project1000,1000,delphia.carroll@yahoo.com,I will make an observation.,5739,69 weeks,Massachusetts Institute of Technology Discussions Undergraduate Research Journal
project1001,1001,nestor_littel@yahoo.com,I think she likes me.,651,3 months,Northeastern University Engineers Without Borders
project1002,1002,maritza.steuber67@hotmail.com,It's an awfully important job.,3758,6 months,Northeastern University Girls Who Code
project1003,1003,kiera_johns@yahoo.com,I am going to make my bed first.,502,2 months,Northeastern University Hackers Society
project1004,1004,kiarra_langworth18@yahoo.com,He's finally stopping.,5387,5 months,Northeastern University Biomedical Engineering Society
project1005,1005,chester.mertz@gmail.com,They live in a beautiful house.,3854,68 month,Northeastern University American Institute of Chemical Engineers
project1006,1006,maribel_howe@hotmail.com,They can be divided into three groups.,4517,3 months,Northeastern University Baja Sae
project1007,1007,emmanuelle_parisian@yahoo.com,I am on the phone.,1966,6 months,Northeastern University Aeronautics Team
project1008,1008,marjory26@hotmail.com,These sunglasses are too shiny.,1340,2 months,Northeastern University MedWish
project1009,1009,kristoffer.hauck@gmail.com,I have a birthday coupon to use.,2408,5 months,Northeastern University Rocket Team
project1010,1010,daphnee_hane2@yahoo.com,Any day will do.,3020,68 month,Northeastern University Global Health Design Collaborative
project1011,1011,kenton.sawayn@yahoo.com,You could release half of us.,9516,68 year,Northeastern University Graduate Civil Engineering Student Association
project1012,1012,rey_reinger@gmail.com,I made a list.,2653,1.5 years,Northeastern University Medical Technology Group
project1013,1013,albin_schaefer@hotmail.com,You can either stay or leave.,6485,75 months,Northeastern University oSTEM
project1014,1014,hester.mayert10@hotmail.com,They're not big fans of mine.,4646,71 years,Northeastern University Society of Hispanic Professional Engineers
